"","total"
"chocolate",31343
"yogurt",16767
"coffee",13174
"cheese",12869
"cake",11177
"cookie",10263
"vanilla",10122
"butter",9264
"tea",7494
"strawberry",7249
"caramel",6607
"peanut",6183
"sugar",5298
"coconut",4967
"banana",4885
"candy",4407
"mango",3758
"mint",3702
"lemon",2881
"cherry",2842
"pistachio",2543
"apple",2400
"honey",2390
"almond",2367
"oreo",2304
"raspberry",2141
"salt",1987
"pineapple",1871
"blueberry",1856
"pecan",1732
"matcha",1695
"cinnamon",1695
"pumpkin",1691
"chili",1587
"lime",1496
"peach",1252
"berry",1161
"toffee",1087
"taro",1021
"hazelnut",885
"maple",879
"kiwi",756
"watermelon",742
"mocha",657
"rose",641
"tiramisu",583
"lychee",560
"ube",556
"rum",544
"butterscotch",520
"praline",485
"peppermint",432
"marshmallows",378
"pear",318
"cucumber",294
"plum",290
"sherbet",238
"grape",206
"eggnog",146
"melon",120
"cranberry",116
"chilli",100
"passionfruit",76
"bubblegum",66
"lavendar",65
"mamey",51
"neapolitan",38
